codigo.situr;RIF.x;codigo.proyecto_2016;Estado;Municipio;Parroquia;Entidad;Nombre.Proyecto_2016;Sub.Categoria;Fecha.Creacion;Fecha.Inicio;Monto_2016;Área_2016;Kg_Estimados_2016;Area_Efectiva_2016(FONDAS);Kg_Arrimado_2016(FONDAS);;;;;
05-10-01-001-0034;C299652091;CCO-16-04-05-00021;aragua;san sebastián;capital san sebastián;asentamiento campesino guarate (no indica);produccion de tomate. sector guarate.mcpio san sebastian. edo aragua;hortalizas;07/03/2016;2016-12-07;12582579;95;5;17500;0;0;;;;
05-15-01-001-0013;C299311170;CCO-16-04-07-00005;aragua;urdaneta;capital urdaneta;las tres erre;cultivo de maiz amarillo;cereales;08/03/2016;2016-05-11;4000000;100;350000;100;25680;;;;;
05-15-01-001-0029;J299346390;CCO-16-04-07-00028;aragua;urdaneta;capital urdaneta;asentamiento campesino leonardo ruiz pineda (sin nombre comercial);siembra cultivo y cosecha de 4 ha de cebolla en el sector la sabaneta asentamiento campesino leonardo ruiz pineda  barbacoas;hortalizas;27/04/2016;2016-12-07;12065262;77;4;14000;0;0;;;;
05-15-02-001-0001;J299387827;CCO-16-04-07-00023;aragua;urdaneta;no urbana las peñitas;cardoncito el pajaro (sin nombre comercial);siembra de maiz 2016;cereales;04/04/2016;2016-06-15;13000000;100;350000;100;65920;;;;;
05-15-03-001-0002;J299352071;CCO-16-04-07-00046;aragua;urdaneta;no urbana san francisco de cara;sector la ceiba (sin nombre comercial);produccion de hortalizas y leguminosas;hortalizas;18/08/2016;2016-12-07;15099095;93;6;21000;0;0;;;;
05-15-03-001-0010;J299274607;CCO-16-04-07-00032;aragua;urdaneta;no urbana san francisco de cara;el araguaney (sin nombre comercial);cultivo de 160 hectareas  de maiz blanco;cereales;18/05/2016;2016-06-15;24000000;160;560000;160;325720;;;;;
06-01-0000;J403552150;COM-16-05-09-00004;barinas;alberto arvelo torrealba;sabaneta;los guerreros zamoranos;plan de siembra 500 hectáreas de maíz blanco y 200 hectáreas de arroz; ciclo invierno 2016; comuna los guerreros zamoranos. ;cereales;11/05/2016;2016-06-15;110000000;700;2450000;353;669760;;;
06-03-02-001-0015;J310862249;CCO-16-05-01-00037;barinas;arismendi;guadarrama;coco e mono;siembra y cultivo de 15 ha de maíz para el consumo de la pquia guadarrama y comunidades aledañas del mpio arismendi edo barinas.;cereales;27/04/2016;2016-06-02;2000000;15;52500;0;0;;;;;
06-03-03-017-0003;J299271845;CCO-16-05-01-00033;barinas;arismendi;la unión;san jaime abajo (sin nombre comercial);mejoramiento y ampliacion de patios productivos; para la siembra de 30 ha de maiz.;cereales;15/03/2016;2016-05-04;2900000;30;105000;0;0;;;;
06-03-04-040-0000;J299584444;CCO-16-05-01-00031;barinas;arismendi;san antonio;cunaguaro (sin nombre comercial);mejoramiento y ampliacion de patios productivos; siembra de 30ha maiz;cereales;15/03/2016;2016-04-22;2800000;30;105000;0;0;;;;
