codigo.situr;RIF.x;codigo.proyecto_2016;Estado;Municipio;Parroquia;Entidad;Nombre.Proyecto_2016;Sub.Categoria;Fecha.Creacion;Fecha.Inicio;Monto_2016;Área_2016;Kg_Estimados_2016;Area_Efectiva_2016(FONDAS);Kg_Arrimado_2016(FONDAS);;;;;
15-19-01-001-0219;C309207938;CCO-16-13-09-00018;miranda;sucre;petare;victoria bolivariana;siembra socialista ezequiel zamora;hortalizas;26/02/2016;2016-05-11;2000000;1;3500;0;0;;;;;
15-19-01-B18-0000;J299978027;CCO-16-13-09-00029;miranda;sucre;petare;colinas de la bombilla;granja avicola integral;cría y engorde de aves de corral;15/03/2016;2017-03-08;25900000;NA;NA;0;0;;;;;
15-19-02-E22-0002;C299950564;CCO-16-13-09-00027;miranda;sucre;caucagüita;la embajada (no indica);sembrando para la soberanía alimentaria ;raíces; tubérculos y cucurbitáceas;11/03/2016;2017-02-22;4450686;52;7;24500;0;0;;;
15-19-03-J09-0022;C306641092;CCO-16-13-09-00037;miranda;sucre;fila de mariches;la sultana del avila;plan de siembra comunal  de has. de yuca;raíces; tubérculos y cucurbitáceas;29/03/2016;2017-02-15;38148741;6;60;210000;0;0;;;
15-20-01-001-0058;C307736291;CCO-16-13-10-00004;miranda;urdaneta;cúa;popular agrario sacuas (sin nombre comercial);la siembra de petroleo del comandante y sistema de riego para la siembra de 80 has de yuca;raíces; tubérculos y cucurbitáceas;15/03/2016;2017-03-08;50864988;80;280000;0;0;;;;
15-21-0005;J405375051;COM-16-13-11-00002;miranda;zamora;bolívar;juramento en el monte sacro;sistema de producción agro alimentario;hortalizas;24/02/2016;2017-01-17;37747739;88;30;105000;0;0;;;;
16-01-01-001-0000;J299576751;CCO-16-14-01-00007;monagas;acosta;capital acosta;los corocillos (sin nombre comercial);siembra de tomates en la comunidad de los corocillos;hortalizas;15/07/2016;2016-12-14;50330319;78;20;70000;0;0;;;;
16-03-0002;J405022787;COM-16-14-02-00001;monagas;bolívar;capital bolívar;juana ramirez la avanzadora;plan de siembra socioproductiva de tuberculos en la comuna juana ramirez   ;raíces; tubérculos y cucurbitáceas;23/02/2016;2016-12-07;6358123;59;10;35000;0;0;;;
16-07-01-001-0004;J308598224;CCO-16-14-06-00019;monagas;libertador;capital libertador;las delicias;producción de 1100 has de sorgo;cereales;13/05/2016;2016-06-15;142560000;1100;3850000;333;0;;;;;
16-07-01-001-0017;C299901202;CCO-16-14-06-00013;monagas;libertador;capital libertador;libertador;producciòn de 1200 has. de maíz amarillo ;cereales;29/03/2016;2016-05-11;129600000;1200;4200000;1010;175010;;;;;
16-07-01-002-0001;C306705538;CCO-16-14-06-00018;monagas;libertador;capital libertador;mata negra (no indica);produccion de 1000 has. de sorgo;cereales;12/05/2016;2016-06-15;129600000;1000;3500000;0;0;;;;;
16-07-01-005-0001;J299855499;CCO-16-14-06-00008;monagas;libertador;capital libertador;el corozo (sin nombre comercial);produccion de 100 has. de raices y tuberculos;raíces; tubérculos y cucurbitáceas;29/02/2016;2016-04-22;10840000;100;350000;0;0;;;;
16-12-01-002-0000;J299705225;CCO-16-14-10-00009;monagas;sotillo;capital sotillo;apostadero (sin nombre comercial);siembra de yuca dulce en la comunidad de apostadero ;raíces; tubérculos y cucurbitáceas;18/07/2016;2016-12-14;22253432;57;35;122500;0;0;;;
16-12-02-001-0016;C299848093;CCO-16-14-10-00002;monagas;sotillo;los barrancos de fajardo;punta de piedra de san roque (no indica);cria de cerdo en la comunidad de punta de piedra de san roque.;cría y engorde de porcinos;20/05/2016;2016-06-15;30000000;NA;NA;0;0;;;;;
18-02-0000;J406380792;COM-16-16-01-00003;portuguesa;araure;capital araure;guaimaral portuguesa socialista; preparacion; siembra; mantenimiento y cosecha de 300hectareas de maiz blanco municipio araure;cereales;30/03/2016;2016-05-25;54000000;300;1050000;150;266420;;;
18-02-0003;J405573392;COM-16-16-01-00002;portuguesa;araure;río acarigua;comuna agroindustrial rio buchy;siembra de 535 has de maiz de la comuna agroindustrial rio buchy;cereales;28/03/2016;2016-06-02;96300000;535;1872500;456;120220;;;;;
18-04-0001;J405609761;COM-16-16-03-00004;portuguesa;guanare;capital guanare;socialista valles de suruapay;siembra de 220 hectarias de maíz blanco en la comuna socialista valles de suruapay en el municipio guanare;cereales;12/05/2016;2016-06-15;39600000;220;770000;160;138360;;;;;
18-04-0005;J405614293;COM-16-16-03-00001;portuguesa;guanare;capital guanare;nueva belen;siembra de 100 has de maiz blanco para la comuna nueva;cereales;04/04/2016;2016-05-11;18000000;100;350000;3;0;;;;;
18-04-0006;J405471115;COM-16-16-03-00002;portuguesa;guanare;virgen de la coromoto;socialista indio coromoto;preparacion; siembra; mantenimiento y cosecha de 250 hectareas de maiz blanco por la comuna indio coromoto municipio guanare;cereales;04/05/2016;2016-05-25;45000000;250;875000;111;100160;;;
18-05-0000;J404339329;COM-16-16-04-00003;portuguesa;guanarito;divina pastora;divina pastora;siembra de 1000 hectareas de maiz blanco en la comuna divina pastora del municipio guanarito;cereales;18/03/2016;2016-05-25;180000000;1000;3500000;399;318340;;;;;
18-07-0000;J405614226;COM-16-16-05-00001;portuguesa;ospino;aparición;chiriguare 2006;preparacion-siembra-mantenimiento-cosecha de 500 hectareas de maiz blanco por la comuna chiriguare 2006; municipio ospino;cereales;25/04/2016;2016-05-25;90000000;500;1750000;299;473420;;;;
18-08-04-008-0001;J299644412;CCO-16-16-06-00007;portuguesa;páez;ramón peraza;maratan;siembra de 32 has de maiz amarillo para el consejo comunal maratan;cereales;04/05/2016;2016-05-25;5760000;32;112000;0;0;;;;;
18-10-0003;J405733012;COM-15-16-12-00004;portuguesa;san genaro de boconoito;antolín tovar;ali primera el cantor del pueblo;preparacion y siembra de 20 hectareas de tomates;sistema de riego;06/10/2015;2015-12-11;5720000;NA;NA;0;0;;;;;
18-12-02-002-0000;C299585130;CCO-16-16-14-00010;portuguesa;santa rosalía;florida;consejo comunal poblado 3;sector i (sin nombre comercial);siembra de 270 hectareas de caraota en el consejo comunal poblado iii sector i del municipio santa rosalia;leguminosas;24/08/2016;2016-12-14;69079106;7;270;945000;0;0;;;
18-12-02-014-0000;C299657786;CCO-16-16-14-00009;portuguesa;santa rosalía;florida;la redoma;siembra de 300 hectareas de caraotas en el consejo comunal la redoma del municipio santa rosalia;leguminosas;24/08/2016;2016-12-14;76754562;3;300;1050000;0;0;;;;
18-14-0000;J405573406;COM-16-16-08-00002;portuguesa;turén;santa cruz;agroecoturistica industrial el alfa de santa cruz;preparacion; siembra; mantenimiento y cosecha de 1100 hectareas de maiz blanco; comuna alfa de santa cruz;cereales;02/05/2016;2016-06-15;198000000;1100;3850000;1060;1524500;;
19-01-01-P76-0000;J299421464;CCO-16-17-11-00002;sucre;andrés eloy blanco;mariño;las minas (sin nombre comercial);siembra y cultivo de 40has de maiz;cereales;14/02/2016;2016-06-15;6000000;40;140000;38;0;;;;;
19-01-02-001-0017;J314134728;CCO-16-17-11-00011;sucre;andrés eloy blanco;rómulo gallegos;la victoria;siembra de 10has de yuca.;raíces; tubérculos y cucurbitáceas;18/04/2016;2016-12-21;6358123;59;10;35000;0;0;;;
19-03-0001;J405377046;COM-16-17-01-00002;sucre;arismendi;san juan de las galdonas;agro-pesquera-turistica horizonte de paria;siembra de 100 hectáreas de yuca para aumentar la producción agrícola y combatir la guerra económica;raíces; tubérculos y cucurbitáceas;29/03/2016;2016-05-04;10000000;100;350000;0;0;;;;
19-03-01-001-0038;J299513903;CCO-16-17-01-00027;sucre;arismendi;río caribe;santa maria;siembra de 30 hectareas de yuca en la comunidad de santa maria parroquia rio caribe municipio arismendi estado sucre;raíces; tubérculos y cucurbitáceas;21/03/2016;2016-05-11;3500000;30;105000;0;0;;;;
19-03-01-023-0001;J311599347;CCO-16-17-01-00025;sucre;arismendi;río caribe;agua fria;siembra de diez hectareas de maiz;cereales;08/03/2016;2016-05-18;1500000;10;35000;10;700;;;;;
19-03-05-001-0015;J317350960;CCO-16-17-01-00017;sucre;arismendi;san juan de las galdonas;don simon narciso rodriguez;siembra de 6 hectareas de yuca en la comunidad de viciosa.;raíces; tubérculos y cucurbitáceas;26/02/2016;2016-12-21;3814874;15;6;21000;0;0;;;
19-04-0001;J405313560;COM-16-17-02-00001;sucre;benítez;unión;luchadores de union;siembra de 100 has de yuca;raíces; tubérculos y cucurbitáceas;31/03/2016;2016-05-18;13000000;100;350000;0;0;;;;
19-04-01-012-0001;J309728903;CCO-16-17-02-00037;sucre;benítez;el pilar;rio cololarado;siembra de 50 hectareas de tierra con el rubro maiz en la comunidad de río colorado municipio benítez del estado sucre;cereales;11/05/2016;2016-06-15;7500000;50;175000;50;0;;;;;
19-04-06-001-0000;C306304037;CCO-16-17-02-00039;sucre;benítez;unión;puerto los conotos cazon;siembra de 30 hectareas de maiz amarillo en la comunidad de puerto los conoto cazón; en la parroquia unión; municipio benítez;cereales;14/05/2016;2016-06-15;4500000;30;105000;30;0;;;
19-04-06-001-0001;J299813540;CCO-16-17-02-00034;sucre;benítez;unión;guariquen;siembra de 40 hectareas de rubro agrícola de yuca en la comunidad de guariquen parroquia unión estado sucre;raíces; tubérculos y cucurbitáceas;01/04/2016;2016-05-11;5200000;40;140000;0;0;;;;
19-04-06-022-0001;C309809270;CCO-16-17-02-00038;sucre;benítez;unión;rio morocoto;siembra de 50 hectareas de  maiz amarillo en la comunidad de ríomorocoto; parroquia unión municipio benitez estado sucre;cereales;14/05/2016;2016-06-15;7500000;50;175000;35;0;;;;
19-07-0000;J403095329;COM-16-17-04-00005;sucre;cajigal;yaguaraparo;agropecuaria cajigal;siembra y cultivo de 250has de maíz;cereales;06/05/2016;2016-06-29;37500000;250;875000;0;0;;;;;
19-07-0003;J404685987;COM-16-17-04-00004;sucre;cajigal;el paujil;los sueã±os de chavez;siembra de 174 has de maiz;cereales;06/05/2016;2016-06-08;26100000;174;609000;156;81000;;;;;
19-07-02-001-0005;C313159476;CCO-16-17-04-00008;sucre;cajigal;el paujil;vivienda viejas cachipal;siembra y cultivo de 12has de maiz amarillo en ele sector vivienda viejas cachipal; parroquia el paujil; municipio cajigal.  ;cereales;12/03/2016;2016-05-25;1800000;12;42000;8;0;;;
19-07-03-001-0014;C311103473;CCO-16-17-04-00013;sucre;cajigal;libertad;rio del medio;siembra y producción de 40 hectáreas de maíz;cereales;02/05/2016;2016-06-02;3500000;40;140000;37;2990;;;;;
19-07-03-001-0015;C299784222;CCO-16-17-04-00012;sucre;cajigal;libertad;el corozal de bohordal;siembra y producción de 40 hectáreas de maíz amarillo.;cereales;02/05/2016;2016-06-02;3500000;40;140000;35;225;;;;;
19-12-05-030-0002;C299947318;CCO-16-17-07-00022;sucre;montes;san fernando;rio san juan;impulsar la economía; a través del primer motor de agro alimentaria por medio de la siembra de maíz. ;cereales;26/04/2016;2016-06-08;3500000;20;70000;20;0;;;;
19-13-0003;J405212489;COM-16-17-08-00001;sucre;ribero;villa frontado (muelle de cariaco);agroturistica antonio jose de sucre;siembra y cultivo de cebolla;hortalizas;03/04/2016;2016-12-21;15081578;46;5;17500;0;0;;;;
19-14-0000;J404634509;COM-16-17-09-00002;sucre;sucre;ayacucho;"agroturistica union de activos representantes de barbacoas ""udarba""";construccion de base agricola para la produccion de hortalizas;en la comuna udarba;hortalizas;04/03/2016;2017-01-04;6921079;58;3;10500;0;0;;;
19-14-02-E01-0002;J299424633;CCO-16-17-09-00030;sucre;sucre;ayacucho;plan de la mesa sector las dos casitas;recuperacion de las zonas agricolas productivas para la siembra de la yuca agria y dulce; para la produccion del casabe;raíces; tubérculos y cucurbitáceas;04/03/2016;2016-12-07;3179061;8;5;17500;0;0;;
19-14-06-001-0038;J299562173;CCO-16-17-09-00015;sucre;sucre;raúl leoni;limonal morichal (sin nombre comercial);proyecto de siembra de yuca en limonal morichal. ;raíces; tubérculos y cucurbitáceas;24/02/2016;Sin Fecha de Inicio;635812;36;1;3500;0;0;;;
19-14-06-001-0045;J299828351;CCO-16-17-09-00054;sucre;sucre;raúl leoni;los kariãas de la media flor;siembra y cosecha de yuca dulce / agria;raíces; tubérculos y cucurbitáceas;18/08/2016;2016-12-07;12716247;18;20;70000;0;0;;;
19-14-06-001-0049;J313969940;CCO-16-17-09-00025;sucre;sucre;raúl leoni;maraguey;siembra y cultivo de tuberculos;raíces; tubérculos y cucurbitáceas;26/02/2016;2016-12-07;2543249;44;4;14000;0;0;;;
19-14-06-033-0003;J299944157;CCO-16-17-09-00016;sucre;sucre;raúl leoni;santa cruz ii (no indica);proyecto socioproductivo de fortalecimiento de siembra de yuca. ;raíces; tubérculos y cucurbitáceas;24/02/2016;2016-12-07;635812;36;1;3500;0;0;;;
20-06-01-023-0000;C299639613;CCO-16-18-10-00006;táchira;córdoba;capital córdoba;ceratos (sin nombre comercial);proyecto productivo semvid impulsando 4 hectáreas en rubros de corto plazo  ;hortalizas;29/03/2016;2017-01-17;12065262;77;4;14000;0;0;;;;
20-13-0001;C408195895;COM-16-18-25-00001;táchira;josé maría vargas;josé maría vargas;espiritu santo morales;plan de siembra 2016-2017 para 30ha zanahoria;hortalizas;26/07/2016;2016-12-14;53226858;36;30;105000;0;0;;;;
20-29-01-024-0000;J299687499;CCO-16-18-29-00008;táchira;san judas tadeo;capital san judas tadeo;las mesitas (sin nombre comercial);impulso agrícola en la aldea vega de caquetrira sector las mesitas del municipio san judas tadeo;hortalizas;22/03/2016;2016-12-07;27146841;23;9;31500;0;0;;;;
20-29-01-040-0000;J299659320;CCO-16-18-29-00005;táchira;san judas tadeo;capital san judas tadeo;el tesoro sector alto viento san felipe (sin nombre comercial);siembra de cebolla en 12 ha para la seguridad alimentaria en la aldea el tesoro del municipio san judas tadeo estado táchira;hortalizas;22/03/2016;2016-12-07;36195788;3;12;42000;0;0;;;;
20-29-01-042-0000;J299721441;CCO-16-18-29-00010;táchira;san judas tadeo;capital san judas tadeo;la cuchilla ii (sin nombre comercial);siembra de hortalizas en el sector la cuchilla ii aldea el tesoro;hortalizas;31/03/2016;2016-12-07;23070265;27;10;35000;0;0;;;;
21-06-02-001-0001;C299697591;CCO-16-19-04-00002;trujillo;escuque;la unión;unidos por las rurales y san benito (sin nombre comercial);cria y engorde de madres porcinas reproductoras para doble uso sector quevedo parroquia santa rita municipio escuque;cría y engorde de porcinos;14/02/2016;2016-05-04;5990109;33;NA;NA;0;0;;;;
21-06-03-001-0003;C299296678;CCO-16-19-04-00020;trujillo;escuque;sabana libre;santa maria lamedero (sin nombre comercial);manejo; cria; reproduccion de caprinos y produccion de leche para lactantes en el sector santa maria; paquia sabana libre; mcpio;cría y engorde de caprinos;06/05/2016;2016-06-15;11500000;NA;NA;0;0;
21-08-01-001-0011;C299481530;CCO-16-19-18-00009;trujillo;juan vicente campo elías;campo elías;mesa de la luz (no indica);desarrollo de unidades familiares para la siembra de hortalizas; café y cambur;permanentes y semipermanentes;27/02/2016;2016-04-06;6600000;20;70000;0;0;;;;
21-08-02-U18-0000;C299482978;CCO-16-19-18-00001;trujillo;juan vicente campo elías;arnoldo gabaldón;paramo el tendal (sin nombre comercial);cria de ganaderia doble proposito a pequeñas escalas y siembras de rubros agricola en el sector el tendal.;cría y engorde de bovinos;17/02/2016;2016-05-04;3000000;NA;NA;0;0;;;;;
21-09-0000;C404875360;COM-16-19-19-00001;trujillo;la ceiba;tres de febrero;ali primera i;siembras de rubros agrícola de ciclo cortos y largo; e instalación de sistema de riego en la comuna ali primera tres de febrero.;raíces; tubérculos y cucurbitáceas;02/03/2016;2016-05-04;25000000;320;1120000;0;0;;;
21-09-04-001-0005;C299733555;CCO-16-19-19-00022;trujillo;la ceiba;tres de febrero;caño candelaria (sin nombre comercial);fortalecimiento del sector agrícola-vegetal a través de la siembra de rubros de ciclos cortos (pimentón);hortalizas;28/02/2016;2016-12-07;17533401;61;7;6;26600;0;0;;;
21-09-04-001-0007;J403235600;CCO-16-19-19-00026;trujillo;la ceiba;tres de febrero;carrillito;siembra y cultivo para el sector tres de febrero; pquia tres de febrero. mcpio la ceiba edo trujillo;cereales;28/04/2016;2016-05-25;7000000;6;21000;4;0;;;;
21-18-01-010-0000;C315856166;CCO-16-19-05-00007;trujillo;trujillo;andrés linares;el isguaguio (no indica);construcción de invernado para producción agrícola.;hortalizas;23/02/2016;2016-12-07;9228106;11;4;14000;0;0;;;;
22-06-0000;C406551007;COM-16-20-08-00001;yaracuy;josé antonio páez;capital josé antonio páez;socialista agroturistica ecologica copa redonda;siembra de 20 hectareas de pimenton en el sector copa redonda municipio jose antonio paez estado yaracuy;hortalizas;26/07/2016;2016-12-07;46140530;54;20;70000;0;0;;;;
22-07-0000;J403801681;COM-16-20-09-00001;yaracuy;la trinidad;capital la trinidad;comuna socialista independencia 18 de febrero (socialista independencia 18 de febrero);establecimiento de 30 hectareas de cebolla en la comuna independencia 18 de febrero del municipio trinidad estado yaracuy;hortalizas;16/02/2016;2016-05-11;14718000;30;105000;0;0;;;;;
22-09-01-040-0001;C299858218;CCO-16-20-03-00011;yaracuy;nirgua;capital nirgua;santa ana la josefina (no indica);siembra de 40 hectáreas de caraota en el sector santa ana la josefina del municipio nirgua estado yaracuy;leguminosas;04/04/2016;Sin Fecha de Inicio;10233941;64;40;140000;0;0;;;;
22-11-02-001-0000;J299400564;CCO-16-20-04-00032;yaracuy;san felipe;albarico;unidos por la paz marincito 2 (no indica);siembra de 3 hectareas de tomate en la comunidad marincito 2 del estado yaracuy;hortalizas;26/05/2016;Sin Fecha de Inicio;7549547;97;3;10500;0;0;;;;
23-03-0000;J403683956;COM-16-21-14-00008;zulia;cabimas;arístides calvani;vicente campo elias;cria de cabra para la produccion de leche para niños lactantes;cría y engorde de caprinos;12/05/2016;2016-06-22;15000000;NA;NA;0;0;;;;;
23-06-03-001-0000;C299806838;CCO-16-21-20-00008;zulia;francisco javier pulgar;francisco javier pulgar;naranjos abajos;adquisición de pollos de engorde y suministro de alimentos para cria en el sector naranjos abajo;cría y engorde de bovinos;29/03/2016;2016-06-29;3000000;NA;NA;0;0;;;;;
23-06-03-034-0001;C308376191;CCO-16-21-20-00007;zulia;francisco javier pulgar;francisco javier pulgar;el trinal;adquisicion de gallinas ponedoras y construccion de cerca perimetral para el galpon existente en el sector el trinal;cría y engorde de aves de corral;29/03/2016;2016-06-29;6000000;NA;NA;0;0;;;;;
23-07-0001;J405913428;COM-16-21-16-00001;zulia;jesús enrique lossada;josé ramón yepes;el diluvio palmar;siembra de maiz amarrilo la gloria de dios ;cereales;04/05/2016;2016-08-03;16500000;100;350000;0;0;;;;;
23-09-02-004-0001;J306846611;CCO-16-21-10-00018;zulia;la cañada de urdaneta;andrés bello;galilea (no indica);cultivo y produccion de maiz en la comunidad del centro consejo comunal galilea;cereales;13/05/2016;2016-06-22;3500000;50;175000;17;0;;;;;
23-13-09-001-0019;J299858757;CCO-16-21-05-00079;zulia;maracaibo;francisco eugenio bustamante;el rosario;siembra de 10 hectareas  de frijol en parcelamiento el rosario sector chaparral;leguminosas;13/09/2016;2016-12-21;4200000;6;21000;0;0;;;;;
23-13-18-001-0074;J403421471;CCO-16-21-05-00050;zulia;maracaibo;san isidro;punta caimito;fortalecimiento y reimpulso en la producción de siembra de maíz en la comunidad de punta caimito;cereales;08/04/2016;2016-06-02;5300000;65;227500;8;0;;;;;
24-01-0002;J403518254;COM-16-24-01-00005;vargas;vargas;carayaca;indios tarama;siembra de pimenton;hortalizas;09/03/2016;2016-12-21;62500000;15000;52500000;0;0;;;;;
24-01-0003;J405209933;COM-16-24-01-00004;vargas;vargas;carayaca;al rescate de nuestras raices;siembra de caraotas ;leguminosas;28/02/2016;2017-02-01;200000000;600;2100000;0;0;;;;;
24-01-0004;J405219513;COM-16-24-01-00002;vargas;vargas;carayaca;agroturistica hugo rafael chavez frias 2;siembra de 155 hectáreas de papa;raíces; tubérculos y cucurbitáceas;23/02/2016;2016-12-21;38750000;155;542500;0;0;;;;
24-01-02-P80-0000;J299429872;CCO-16-24-01-00033;vargas;vargas;carayaca;hoyito paramacony;cria y cultivo  avicola de gallinas ponedoras ;cría y engorde de aves de corral;23/02/2016;2016-12-21;14000000;NA;NA;0;0;;;;;
C-MIX-2014-10-0004;J405457481;COM-16-03-06-00012;apure;san fernando;san fernando de apure;socialista guerreros de cristo;produccion de hortalizas ( pimenton) ;hortalizas;09/03/2016;2016-12-07;5767566;32;2;5;8750;0;0;;;
C-MIX-2014-10-0006;C406076350;COM-16-13-05-00003;miranda;lander;ocumare del tuy;el legado del comandante;siembra de tomate el sector el cerrito de ocumare del tuy; estado miranda.;hortalizas;30/03/2016;2016-05-18;33710000;60;210000;0;0;;;;
C-MIX-2014-10-0018;J406695041;COM-16-10-07-00010;guárico;pedro zaraza;zaraza;unidos por agua negra;siembra de 1300 ha de maiz blanco en el caserrio agua negra;cereales;28/04/2016;2016-06-02;156000000;1300;4550000;1300;1594700;;;;;
C-MIX-2014-11-0009;C450453117;COM-16-13-09-00016;miranda;sucre;fila de mariches;unidos venceremos en revolucion;plan de siembra de 55 has. de yuca;raíces; tubérculos y cucurbitáceas;22/09/2016;Sin Fecha de Inicio;34969679;8;55;192500;0;0;;;
C-MIX-2014-11-0016;J406008508;COM-16-02-15-00001;anzoátegui;guanta;chorrerón;la sirena de guanta;proyecto agroalimentario para la producción de hortalizas en la comunal la sirtena de guanta;hortalizas;21/03/2016;2016-12-07;27681675;88;11;38500;0;0;;;;
C-MIX-2014-11-0028;J406642606;COM-16-10-07-00004;guárico;pedro zaraza;zaraza;felicidad suprema 2019;plan de siembra comunal 2016 comuna la felicidad suprema 2019;cereales;07/03/2016;2016-06-02;90599240;1619;5666500;1605;1817740;;;;;
C-MIX-2014-11-0029;J406676403;COM-16-10-07-00008;guárico;pedro zaraza;zaraza;el gigante de venezuela hugo chavez;plan siembra 2016(maiz amarillo);cereales;21/03/2016;2016-04-22;29700000;220;770000;104;71760;;;;;
C-MIX-2014-12-0017;C406398584;COM-16-17-03-00003;sucre;bermúdez;santa catalina;socialista agro-turistica charallave;instalacion de 4 casas de cultivos para la produccion agricola;hortalizas;03/03/2016;2016-12-21;4614053;5;2;7000;0;0;;;;
C-MIX-2014-12-0023;C407317768;COM-16-16-06-00007;portuguesa;páez;pimpinela;las majaguas;plan de siembra 425 hectareas del rubro maiz blanco en la comuna las majaguas del municipio san rafael de onoto;cereales;09/05/2016;2016-06-15;76500000;425;1487500;0;0;;;;;
C-MIX-2014-12-0026;J406356077;COM-16-10-12-00001;guárico;ortíz;san josé de tiznados;revolucionaria agroindustrial combatientes negra matea;siembra de sorgo en el plan de siembra 2016;cereales;03/05/2016;2016-06-02;162000000;1200;4200000;493;64040;;;;;
C-MIX-2014-12-0027;C407255878;COM-16-16-04-00002;portuguesa;guanarito;capital guanarito;caña dulce;proyecto socio productivo “huertos comunales”;hortalizas;17/03/2016;2016-12-14;4614053;5;2;7000;0;0;;;;
C-MIX-2015-01-0004;J405811501;COM-16-05-04-00005;barinas;ezequiel zamora;santa bárbara;socialista san jose;proyecto de huertos familiares comunales;hortalizas;07/03/2016;2016-12-07;9228106;11;4;14000;0;0;;;;
C-MIX-2015-02-0004;C406717584;COM-16-05-10-00002;barinas;antonio josé de sucre;nicolás pulido;socialista andillana;siembra de maiz amarillo;cereales;12/03/2016;2016-06-15;9000000;60;210000;18;0;;;;;
C-MIX-2015-02-0007;C406244678;COM-16-18-10-00001;táchira;córdoba;capital córdoba;campesina agroturistica el sueño de chavez;proyecto productivo tierra fértil con el plan siembra del eje campesino sureste-centro del municipio cordoba;cereales;30/03/2016;2016-04-22;3225000;23;80500;20;0;;;;;
C-MIX-2015-02-0008;J405929430;COM-16-17-02-00002;sucre;benítez;el pilar;agro-turistica las minas de benitez;"siembra y cultivo de ""141"" hectareas de maiz ";cereales;07/04/2016;2016-06-15;14100000;141;493500;141;0;;;;;
C-MIX-2015-03-0010;C406379069;COM-16-21-05-00005;zulia;maracaibo;francisco eugenio bustamante;socialista luis homez;"proyecto socioproductivo para la cria de cachama ""los sueños de chavez""";sistema de producción apícola;22/08/2016;2016-12-21;12000000;NA;NA;0;0;;;;;
C-MIX-2015-04-0006;J405943424;COM-16-05-04-00001;barinas;ezequiel zamora;santa bárbara;socialista los herederos de chavez;sembrar 20 has de leguminosas en los sectores rurales de la c.s.los herederos de sta barbara estado barinas;leguminosas;06/03/2016;Sin Fecha de Inicio;5116970;82;20;70000;0;0;;;;
C-MIX-2015-04-0007;C406466557;COM-16-07-09-00005;carabobo;valencia;urbana rafael urdaneta;el sur existe;siembra de 30 hectareas de leguminosa;leguminosas;28/07/2016;2016-12-07;7675456;23;30;105000;0;0;;;;
C-MIX-2015-04-0024;C406572039;COM-16-05-09-00003;barinas;alberto arvelo torrealba;sabaneta;riberas del bocono;100 patios socioproductivo de la comuna riberas del bocono;hortalizas;25/03/2016;2016-12-07;2307026;53;1;3500;0;0;;;;
C-MIX-2015-05-0026;C406651702;COM-16-05-04-00002;barinas;ezequiel zamora;josé ignacio del pumar;agro socialista las manos productivas de chavez;plan de siembra y cultivo de cereales en una extencion de 300 ha.;cereales;06/03/2016;2016-05-25;36000000;300;1050000;8;7800;;;;;
C-MIX-2015-05-0028;C406537519;COM-16-05-09-00002;barinas;alberto arvelo torrealba;sabaneta;socialista bolivar y chavez ii;plan de siembra (cereales) 2016;cereales;10/03/2016;2016-05-25;11200000;112;392000;61;48860;;;;;
C-MIX-2015-07-0013;C406626694;COM-16-17-09-00003;sucre;sucre;santa inés;comuna de servicios turisticos agrourbana comandante eterno;proyecto socio-productivo agrícola periurbano comuna comandante eterno;hortalizas;17/03/2016;2016-12-07;2307026;53;1;3500;0;0;;;;
C-MIX-2015-09-0001;C406643734;COM-16-24-01-00010;vargas;vargas;carayaca;luchadores de la patria con el legado de chavez;siembra de cebolla;hortalizas;31/03/2016;2016-12-21;80000000;200;700000;0;0;;;;;
C-MIX-2015-09-0014;C407066633;COM-16-05-02-00007;barinas;barinas;san silvestre;agro socialista sabanas del arañero;plan de siembra de 338 ha de maiz amarillo - 117 ha arroz pady en la comuna agro-socialista sabanas del arañero.;cereales;31/03/2016;2016-05-18;44460000;455;1592500;106;158100;;;;;
C-MIX-2016-02-0007;C408438577;COM-16-08-06-00003;cojedes;san carlos;san carlos de austria;corazon de mi patria por amor al pueblo;siembra de leguminosas en la comuna corazon de mi patria por amor al pueblo; municipio ezequiel zamora del estado cojedes;leguminosas;21/10/2016;2016-12-23;21000000;60;210000;0;0;;;;
C-RUR-2014-10-0004;C405728523;COM-16-05-06-00003;barinas;pedraza;ciudad bolivia;las guacharacas;siembra de 5 mil has de cereales;cereales;07/03/2016;2016-05-18;200000000;5000;17500000;217;361860;;;;;
C-RUR-2015-01-0001;C405705558;COM-16-05-06-00006;barinas;pedraza;páez;socialista el alma llanera;plan de siembra de maiz amarillo en la comuna socialista el alma llanera mun. pedraza parroquia paez;cereales;09/03/2016;2016-05-18;38700000;200;700000;76;20580;;;;;
C-RUR-2015-02-0001;J405940999;COM-16-05-01-00007;barinas;arismendi;san antonio;socialista revolucionaria bolivar chavez;proyecto socio-productivo de siembra de rubros alimenticios (maiz blanco);cereales;01/04/2016;2016-06-15;40000000;200;700000;90;0;;;;;
C-RUR-2015-03-0001;J405599499;COM-16-08-03-00001;cojedes;girardot;sucre;socialista sur cojedes;plan de siembra ;cereales;13/04/2016;2016-06-08;65000000;500;1750000;437;414480;;;;;
C-RUR-2015-03-0004;J406387746;COM-16-24-01-00009;vargas;vargas;carayaca;manuelita saenz;siembra de yuca;raíces; tubérculos y cucurbitáceas;30/03/2016;2016-12-21;12000000;100;350000;0;0;;;;
